from	to	kind	flow	reversed	derived	optional	evidence	note
cfg:paths.dgm	data/DGM_R25.tif	reads	false	false	false	false	[frag_D] config.json paths.dgm; aufgelöst windkraft/config.py:24-26	
cfg:paths.nsg_zip	data/naturschutzgebiete/SG_AT_2024_v_April_Stand_3_April_2024.zip	reads	false	false	false	false	[frag_D] config.json paths.nsg_zip; aufgelöst windkraft/config.py:24-26	
cfg:paths.osm_dir	data/austria-260328-free.shp	reads	false	false	false	false	[frag_D] config.json paths.osm_dir; aufgelöst windkraft/config.py:24-26	
cfg:paths.powerlines_gpkg	data/osm_power_lines.gpkg	reads	false	false	false	false	[frag_D] config.json paths.powerlines_gpkg; aufgelöst windkraft/config.py:24-26	
cfg:paths.vgd	data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	reads	false	false	false	false	[frag_B] config.json:6; [frag_D] config.json paths.vgd; aufgelöst windkraft/config.py:24-26	Config-Key löst auf diesen Pfad auf (relativ zu config.json's Verzeichnis, windkraft/config.py:22-23)
cfg:paths.wind_pd_100	data/AUT_power-density_100m.tif	reads	false	false	false	false	[frag_D] config.json paths.wind_pd_100; aufgelöst windkraft/config.py:24-26	Key im Paket ungenutzt (nur resolviert, nie gelesen)
cfg:paths.wind_pd_150	data/AUT_power-density_150m.tif	reads	false	false	false	false	[frag_D] config.json paths.wind_pd_150; aufgelöst windkraft/config.py:24-26	
cfg:pyproject.toml	scripts/noe/align_pdf_shapefile.py	depends	false	false	false	true	"[frag_F] pyproject.toml:[project.optional-dependencies] pdf = [""PyMuPDF""]"	PyMuPDF wird hier importiert (fitz); Skript von keinem Make-Target erreichbar.
cfg:pyproject.toml	scripts/noe/extract_noe_vector_layers.py	depends	false	false	false	true	"[frag_F] pyproject.toml:[project.optional-dependencies] pdf = [""PyMuPDF""]"	PyMuPDF wird hier importiert; Skript von keinem Make-Target erreichbar.
cfg:pyproject.toml	windkraft/__main__.py	depends	false	false	false	false	"[frag_F] pyproject.toml:[project.scripts] windkraft = ""windkraft.__main__:main"""	TOTER Entry Point: Zieldatei existiert nicht (test -e windkraft/__main__.py -> fehlt). Bereits dokumentiert in docs/FOLLOWUPS.md:129.
