band_nr	band_name	pixel_abs	anteil_prozent	groesste_flaeche_ha
1	official_settlement_source	0	0.000000	0.0000
2	settlement_buffer	0	0.000000	0.0000
3	haeuser_im_gruenen_ferienhaus	0	0.000000	0.0000
4	haeuser_im_gruenen_widmung	0	0.000000	0.0000
5	haeuser_im_gruenen_streusiedlung	0	0.000000	0.0000
6	haeuser_im_gruenen_noe_pdf	0	0.000000	0.0000
7	haeuser_im_gruenen	0	0.000000	0.0000
8	nonresidential_hulls_source	0	0.000000	0.0000
9	nonresidential_hulls_buffer	0	0.000000	0.0000
10	cableway_buildings_source	0	0.000000	0.0000
11	cableway_buildings_buffer	0	0.000000	0.0000
12	general_buildings_source	0	0.000000	0.0000
13	general_buildings_buffer	0	0.000000	0.0000
14	road_motorway_trunk	0	0.000000	0.0000
15	road_federal_state	0	0.000000	0.0000
16	rail_main	0	0.000000	0.0000
17	cableway_people_150m	0	0.000000	0.0000
18	military_restricted_area	0	0.000000	0.0000
19	airport_area_major	0	0.000000	0.0000
20	airport_runway_corridor_5km	0	0.000000	0.0000
21	nature_protection_areas	0	0.000000	0.0000
22	osm_nature_protection_areas	0	0.000000	0.0000
23	geography_slope_too_steep	0	0.000000	0.0000
24	geography_elevation_too_high	0	0.000000	0.0000
25	geography_wind_too_low	0	0.000000	0.0000
26	geography_water_bodies	0	0.000000	0.0000
27	exclusion_human	0	0.000000	0.0000
28	exclusion_nature	0	0.000000	0.0000
29	exclusion_geography	0	0.000000	0.0000
30	all_exclusions	0	0.000000	0.0000
31	available_after_all_exclusions_raw	0	0.000000	0.0000
32	available_cleaned_min_10ha	0	0.000000	0.0000
33	available_blur_sigma_100m	0	0.000000	0.0000
34	available_blur_sigma_200m	0	0.000000	0.0000
35	available_blur_sigma_250m	0	0.000000	0.0000
36	available_blur_sigma_300m	0	0.000000	0.0000
37	official_wind_zoning	0	0.000000	0.0000
38	wka_bestand_ausserhalb_zonen	0	0.000000	0.0000
