pfad	groesse_bytes	inode	linkcount	sha256
data/.DS_Store	14340	140969316	1	1e39c75f670107f33e5de1cc02213ebde874811df5ab9ea1d99d46f8bc95396a
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.cpg	5	102354979	2	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.dbf	3431060	102354982	2	1371e1e488860f16f0175f411a8b2ed726407b5d7a93ecd575a711efed0099b2
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.prj	458	102354978	2	0a4b5829ac12611b2c088c7a4df54ae79706c63df7a5c3f8b2ba4a5e7d5e6334
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	17976440	102354980	2	81226b55ea4a4febaf4a260f9600ce590fc4662a6f593ecb8602730679c66366
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shx	62900	102354981	2	d4ce007df770237b8cd1ed967dd6e479c73794b371b851eba6886deea79659d6
data/adressregister/Adresse_Relationale_Tabellen_Stichtagsdaten_20251001.zip	97544705	126677145	2	-
data/adressregister/ADRESSE.csv	325884343	126677211	2	-
data/adressregister/adressen_31287.parquet	41855569	139716806	1	133332d1464d0b192e6c38b2525c193d3159294c24112d7830ef30eeb8f352a0
data/adressregister/Aktualitaetsstand.txt	186	126677216	2	bd3f242f19d788a295530de993f4b05ba403a2234fa55d8128596173945239d2
data/adressregister/bev_gebaeude_31287.parquet	42495492	139716807	1	72fc4d0a56916bd5b15efe60208b6b953e434379219a63aca699136c9b07d2d8
data/austria-260330.osm.pbf	796518996	102986038	2	-
data/AUT_power-density_150m.tif	6959811	102395667	2	8f631a596a1d894cceddd060f7ccf5787c2419664ee842282ce02ed94ad1213a
data/DGM_R25.tif	786013673	102459923	2	-
data/flächenwidmungen/Flaewi.shp.zip	960648385	122176965	2	-
data/flächenwidmungen/WIDMUNGSFLAECHEN.zip	49837918	122176961	2	593b8184ba88e2ae66cc115857bea5a34008cfffbc142acc41f5108fbe6f113d
data/kataster/.DS_Store	10244	114474233	2	cce98f1b8f446a594a7563fb96dd4148194e78e20c570273dbe3bc33a6491d47
data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	6865	114761964	2	d9c599b0a09c1984ea61519dd8a37e3617451dc31e8bf38c91c5972c5b8fb461
data/kataster/KAT_DKM_Burgenland_SHP_20210401.zip	827247204	114951285	2	-
data/kataster/KAT_DKM_Kaernten_SHP_20221001.zip	896892073	114926540	2	-
data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	1452310808	114612994	2	-
data/kataster/KAT_DKM_Oberoesterreich_SHP_20221001.zip	1601061894	114926543	2	-
data/kataster/KAT_DKM_Salzburg_SHP_20221001.zip	649844748	114926539	2	-
data/kataster/KAT_DKM_Steiermark_SHP_20221001.zip	1991491050	114926544	2	-
data/kataster/KAT_DKM_Tirol_SHP_20221001.zip	1124234386	114926541	2	-
data/kataster/KAT_DKM_Vorarlberg_SHP_20221001.zip	550343944	114926538	2	-
data/kataster/KAT_DKM_Wien_SHP_20221001.zip	651165480	114926542	2	-
data/luca_zonen/Sbg.cpg	5	123739072	2	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
data/luca_zonen/Sbg.dbf	19352	123739074	2	9b68ba4ce24f2ee765d28ce341910bda59cca37da08cd3ca14024d948539df93
data/luca_zonen/Sbg.prj	404	123739064	2	e65678526a7a86d34803b06c1b2412a74ea6df15b446507b8d2c89548af78c9d
data/luca_zonen/Sbg.qmd	3706	123739070	2	631f22b35f119ee5b142a93e6242a4a65d64935e428fbbcd0ff43413f13fd7f0
data/luca_zonen/Sbg.shp	148348	123739071	2	09746b828832f1537efb59957d3a05e0db447c491d2002ce9ed1c2df161279c3
data/luca_zonen/Sbg.shx	204	123739069	2	f2f647bede497398a11052e09ee98bc5213f82576c2a3e861073b4fb8ea4224b
data/luca_zonen/Stmk.cpg	5	123739065	2	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
data/luca_zonen/Stmk.dbf	26462	123739063	2	a7d23a82a4182d8f1a3ab7c096a2a201b9bffb4362731f319175a42878068379
data/luca_zonen/Stmk.prj	404	123739073	2	e65678526a7a86d34803b06c1b2412a74ea6df15b446507b8d2c89548af78c9d
data/luca_zonen/Stmk.qmd	3706	123739067	2	0a78659e912c2074b84ccc233ddf45163dd89c8b93e973b85700b77d096ee41d
data/luca_zonen/Stmk.shp	71456	123739066	2	9507baf980464f11d976b102bd40019aa12c761da374b60c293d27621de43431
data/luca_zonen/Stmk.shx	244	123739068	2	65ed97a2bc3d827f98b9112e2da1fa88b4af39244dc7e46eb9d5b65244e09580
data/naturschutzgebiete/SG_AT_2024_v_April_Stand_3_April_2024.zip	76873717	102388965	2	-
data/new_widmungs_data/kaernten/flawi_ktn_gpkg.zip	148945885	124149372	2	-
data/new_widmungs_data/niederoesterreich/RRU_WI_HUELLE.gpkg	115216384	124021685	2	-
data/new_widmungs_data/oberoesterreich/FLWI_WIDMUNGEN_F.zip	144881547	124021684	2	-
data/new_widmungs_data/salzburg/Flaechenwidmung_Shapefile.zip	31295277	124149366	2	b3d57d75ac87bf887ae652927e69c70af14465a59dcc411275dd90a8ff62fdb7
data/new_widmungs_data/steiermark/Bauland.zip	44255765	124021680	2	6e71b110827e19af56971bfe8081238df78ffc3af6f2f6bf3405e1b0ec6aef76
data/new_widmungs_data/tirol/FLW_Flaechenwidmung_270349538825189369.gpkg	111464448	124149368	2	-
data/new_widmungs_data/vorarlberg/fwp_flaeche.gpkg	151322624	124149371	2	-
data/new_widmungs_data/wien/genflwidmung_wien.geojson	43073955	128924081	2	6b77a3105704ea1bd6b424b2d2c8e76579a643a76ca74701287a65308b506ba7
data/nö_zonierung/TeilC_3_2_Karte_Mindestabstandszonen_A0_20240402.pdf	16357771	102331802	2	d34126fb0e1e0d30e9cf11010d28120b61ca6b6ec1eb5a39793208e2360ef3e9
data/osm_power_lines.gpkg	13508608	103008997	2	e89a4da268ea8661ceede04173650eb8d4386dc889afcb4dd195fbad8cf79566
data/README.md	47085	139718787	1	98bfc27ced751612ee6084c29cdaa1742e118d6ca50ab9d99f919dc852df1ffc
data/RED_III_Windkraftbeschleunigungszone.zip	25208	126578704	2	f2f2c48bb93ec3196b1285836066e13ad5d396365dd346d7e032baf216ffc090
data/WINDKRAFT_AUSSCHLUSSZONE.zip	4601817	102331799	2	d3724d94b69a865614d3606233d53ef2e509ee0bffeab423882adc6d76d696cb
data/windkraftzonen_shapefile_2024.json	600056	102331804	2	e32917efbf5d7476d8ac02b3435e4089f00816e514bc4b32db79d00181d623fb
data/WK_Eignungszonen.zip	273245	126578703	2	fa4898b1e70ecbe700dcb5279b4fd874b10b864f151e69f86eae5f947805eedf
data/zonierung_noe.json	600056	111545224	2	3a30204da507d3bbb83f453f504726fadce37942ba7477c13dbee0b05a229d0c
