pfad	inode_vorher	inode_nachher	unveraendert
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.cpg	102354979	102354979	ja
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.dbf	102354982	102354982	ja
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.prj	102354978	102354978	ja
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	102354980	102354980	ja
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shx	102354981	102354981	ja
data/adressen/ADRESSE.csv	126677211	126677211	ja
data/adressen/Adresse_Relationale_Tabellen_Stichtagsdaten_20251001.zip	126677145	126677145	ja
data/adressen/Aktualitaetsstand.txt	126677216	126677216	ja
data/adressen/adressen_31287.parquet	139716806	139716806	ja
data/adressen/bev_gebaeude_31287.parquet	139716807	139716807	ja
data/gelaende/AUT_power-density_150m.tif	102395667	102395667	ja
data/gelaende/DGM_R25.tif	102459923	102459923	ja
data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	114761964	114761964	ja
data/kataster/KAT_DKM_Burgenland_SHP_20210401.zip	114951285	114951285	ja
data/kataster/KAT_DKM_Kaernten_SHP_20221001.zip	114926540	114926540	ja
data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	114612994	114612994	ja
data/kataster/KAT_DKM_Oberoesterreich_SHP_20221001.zip	114926543	114926543	ja
data/kataster/KAT_DKM_Salzburg_SHP_20221001.zip	114926539	114926539	ja
data/kataster/KAT_DKM_Steiermark_SHP_20221001.zip	114926544	114926544	ja
data/kataster/KAT_DKM_Tirol_SHP_20221001.zip	114926541	114926541	ja
data/kataster/KAT_DKM_Vorarlberg_SHP_20221001.zip	114926538	114926538	ja
data/kataster/KAT_DKM_Wien_SHP_20221001.zip	114926542	114926542	ja
data/natur/SG_AT_2024_v_April_Stand_3_April_2024.zip	102388965	102388965	ja
data/noe_sekrop/TeilC_3_2_Karte_Mindestabstandszonen_A0_20240402.pdf	102331802	102331802	ja
data/osm/austria-260330.osm.pbf	102986038	102986038	ja
data/widmung/burgenland/WIDMUNGSFLAECHEN.zip	122176961	122176961	ja
data/widmung/kaernten/flawi_ktn_gpkg.zip	124149372	124149372	ja
data/widmung/niederoesterreich/RRU_WI_HUELLE.gpkg	124021685	124021685	ja
data/widmung/oberoesterreich/FLWI_WIDMUNGEN_F.zip	124021684	124021684	ja
data/widmung/salzburg/Flaechenwidmung_Shapefile.zip	124149366	124149366	ja
data/widmung/steiermark/Bauland.zip	124021680	124021680	ja
data/widmung/steiermark/Flaewi.shp.zip	122176965	122176965	ja
data/widmung/tirol/FLW_Flaechenwidmung_270349538825189369.gpkg	124149368	124149368	ja
data/widmung/vorarlberg/fwp_flaeche.gpkg	124149371	124149371	ja
data/widmung/wien/genflwidmung_wien.geojson	128924081	128924081	ja
data/zonen/RED_III_Windkraftbeschleunigungszone.zip	126578704	126578704	ja
data/zonen/WK_Eignungszonen.zip	126578703	126578703	ja
data/zonen/luca_zonen/Sbg.cpg	123739072	123739072	ja
data/zonen/luca_zonen/Sbg.dbf	123739074	123739074	ja
data/zonen/luca_zonen/Sbg.prj	123739064	123739064	ja
data/zonen/luca_zonen/Sbg.qmd	123739070	123739070	ja
data/zonen/luca_zonen/Sbg.shp	123739071	123739071	ja
data/zonen/luca_zonen/Sbg.shx	123739069	123739069	ja
data/zonen/luca_zonen/Stmk.cpg	123739065	123739065	ja
data/zonen/luca_zonen/Stmk.dbf	123739063	123739063	ja
data/zonen/luca_zonen/Stmk.prj	123739073	123739073	ja
data/zonen/luca_zonen/Stmk.qmd	123739067	123739067	ja
data/zonen/luca_zonen/Stmk.shp	123739066	123739066	ja
data/zonen/luca_zonen/Stmk.shx	123739068	123739068	ja
data/zonen/zonierung_noe.json	111545224	111545224	ja
